row_id,user_id,T_level,summary_path
0,user_0168255c,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_0168255c.txt
1,user_02016939,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_02016939.txt
2,user_0285dee3,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_0285dee3.txt
3,user_02d03e8a,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_02d03e8a.txt
4,user_02d8a1f8,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_02d8a1f8.txt
5,user_02fecea2,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_02fecea2.txt
6,user_03410579,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_03410579.txt
7,user_043ea160,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_043ea160.txt
8,user_04d29f9c,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_04d29f9c.txt
9,user_04d8419e,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_04d8419e.txt
10,user_0521a7ac,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_0521a7ac.txt
11,user_058c1800,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_058c1800.txt
12,user_0697c470,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_0697c470.txt
13,user_07cb458d,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_07cb458d.txt
14,user_07db2c6a,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_07db2c6a.txt
15,user_07faa0fc,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_07faa0fc.txt
16,user_08aa624b,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_08aa624b.txt
17,user_08c32973,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_08c32973.txt
18,user_08e9ce6e,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_08e9ce6e.txt
19,user_092e219d,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_092e219d.txt
20,user_0a0bcaa6,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_0a0bcaa6.txt
21,user_0a245f61,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_0a245f61.txt
22,user_0b5c256a,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_0b5c256a.txt
23,user_0b64b183,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_0b64b183.txt
24,user_0c578ab5,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_0c578ab5.txt
25,user_0c8c48ac,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_0c8c48ac.txt
26,user_0cc626ee,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_0cc626ee.txt
27,user_0cd29f02,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_0cd29f02.txt
28,user_0f0ad720,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_0f0ad720.txt
29,user_107259c3,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_107259c3.txt
30,user_10e64e28,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_10e64e28.txt
31,user_111cfe7d,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_111cfe7d.txt
32,user_11e8421f,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_11e8421f.txt
33,user_1230e05a,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_1230e05a.txt
34,user_126670d7,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_126670d7.txt
35,user_1302cb61,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_1302cb61.txt
36,user_13f8ee07,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_13f8ee07.txt
37,user_13fb2e34,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_13fb2e34.txt
38,user_147d1bbb,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_147d1bbb.txt
39,user_14a2d3c6,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_14a2d3c6.txt
40,user_159646d5,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_159646d5.txt
41,user_164057cc,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_164057cc.txt
42,user_164fe4b8,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_164fe4b8.txt
43,user_165a2706,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_165a2706.txt
44,user_16b87e34,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_16b87e34.txt
45,user_17355c30,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_17355c30.txt
46,user_17607ebc,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_17607ebc.txt
47,user_183b3783,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_183b3783.txt
48,user_18522854,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_18522854.txt
49,user_18892460,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_18892460.txt
50,user_18c333c6,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_18c333c6.txt
51,user_192a215d,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_192a215d.txt
52,user_194b92fc,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_194b92fc.txt
53,user_19641691,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_19641691.txt
54,user_19952166,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_19952166.txt
55,user_1a2755b3,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_1a2755b3.txt
56,user_1a4bec69,T5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_1a4bec69.txt
