row_id,user_id,T_level,summary_path
0,user_0168255c,T8,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_0168255c.txt
1,user_02016939,T8,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_02016939.txt
2,user_0285dee3,T8,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_0285dee3.txt
3,user_02d03e8a,T8,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_02d03e8a.txt
4,user_02d8a1f8,T8,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_02d8a1f8.txt
5,user_02fecea2,T8,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_02fecea2.txt
6,user_03410579,T8,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_03410579.txt
7,user_043ea160,T8,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_043ea160.txt
8,user_04d29f9c,T8,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_04d29f9c.txt
9,user_04d8419e,T8,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_04d8419e.txt
10,user_0521a7ac,T8,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_0521a7ac.txt
11,user_058c1800,T8,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_058c1800.txt
12,user_0697c470,T8,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_0697c470.txt
13,user_07cb458d,T8,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_07cb458d.txt
14,user_07db2c6a,T8,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_07db2c6a.txt
15,user_07faa0fc,T8,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_07faa0fc.txt
16,user_08aa624b,T8,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_08aa624b.txt
17,user_08c32973,T8,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_08c32973.txt
